setpoint,kp,ki,kd,mae,oscillations,overshoot_pct
2906.000030694168,0.005709729848153577,0.005490889609869068,0.001996484445736685,1030.9483525174426,1,0
2941.466087014152,0.006418009616080819,0.005016002737670876,0.0013895347586793418,1030.574320188917,1,0
3026.054002435355,0.005068104450361669,0.005049967505041114,0.0024096358007975978,983.2818069434337,1,0
3042.3306887125727,0.005773741819342662,0.006466560788484483,0.0016564169834884374,1041.8687344440448,1,0
3100.009307318103,0.006648116215662229,0.005618885257160478,0.0019424516598482724,1069.15945712558,1,0
2864.9846245525473,0.006269502304754613,0.0053137050789850045,0.002706134361718954,930.9705608115629,1,0
2887.037297104908,0.005368048094850182,0.006854665354706709,0.0021743085319161945,1008.8741002560768,1,0
2947.012820345261,0.005961607782791888,0.005517197476395804,0.002111292128163348,1020.6566311694971,1,0
2962.308313049446,0.0056155093752287425,0.005966449790772885,0.0012445429632728243,1002.5992581557182,1,0
2904.0362016262497,0.006029008280009918,0.006331734237049616,0.0029681140313849905,961.8641452505278,1,0
2930.6655455850896,0.005802410178548566,0.0057707291680097715,0.0011441427988287864,982.6543938289317,1,0
2907.2593827772134,0.006022673143842015,0.0067358191994843835,0.0021526032027630797,1033.938640570432,1,0
3077.4546521789266,0.006518255720355671,0.006825365445477713,0.0023032344185616076,1039.662663065236,2,0
3123.146611811453,0.005381292606125059,0.006931798859583868,0.0017484930622648311,1075.366963347326,1,0
2895.393122389939,0.0050853504496677915,0.006769187666963453,0.0016688718325910071,828.8625526530028,2,0
3087.2595469763805,0.005427998703029454,0.005175680972857996,0.0018468425941299167,1079.3219519289692,1,0
3132.3860699490597,0.005545877385672915,0.005333384042149481,0.0023279595234558647,1063.741192412771,2,0
2863.580491253699,0.006820175976355991,0.0065499031679544266,0.0027046767822667974,1004.7681298953433,1,0
2879.6879036564746,0.005262889733107881,0.006357251849593972,0.0010911350674223804,1031.2614771425374,1,0
2892.556232545723,0.006675451817657371,0.005748860239343515,0.0013124669953683997,1030.2730693730452,1,0
3042.8282333954908,0.005036921956336925,0.00695837015446755,0.0010823737679502103,1097.2651808071673,1,0
3096.139685149881,0.005731963986256527,0.005209576038692323,0.001081900213322953,1148.58453411916,0,0
2915.3673977896474,0.0060126270650018515,0.005207994573188198,0.0011038976813252833,979.5826261723952,0,0
2913.472030909965,0.0050115079872591235,0.0055136931992702835,0.0019727531039665193,1000.9865778810735,1,0
3037.150889200927,0.006645261882214721,0.005386197667463296,0.0014612856752928536,1018.5490868632652,1,0
2996.950016970681,0.006577677874930674,0.0055999228379367055,0.0014049763298858808,1038.1697522019726,1,0
2972.468040600274,0.00534621281796346,0.005145084089946711,0.0010603019614830037,1000.1664483242724,1,0
3899.419029627854,0.008921946125048633,0.008230441237152624,0.004417834674466482,815.5343077606154,3,0
4135.4799659848695,0.007667768077417012,0.008553142129093241,0.0062979915463924644,1479.3531516511025,3,0
3918.2095226999877,0.008457716065377168,0.008963505901386939,0.005086428024718412,1318.1576281833716,3,0
4037.5252098129945,0.008931847795399402,0.008985529624131483,0.0035816341436795884,1412.3648514572578,3,0
4085.7632805889593,0.007779989025202887,0.008901899930527476,0.0037477245323805234,1513.1096582547575,3,0
3987.713886492223,0.008532239501202363,0.008947570499333575,0.006687624024066387,1504.5836270608843,3,0
